# Reserved Words                Implemented
NORMAL                          Yes (Context sensitive)
NOT                             Yes
NOTHING                         Yes
NULL                            Yes
NULLS                           Yes
NUMBER                          Yes
NUMBERS                         Yes
NUMERIC                         Yes
NUMERIC-EDITED                  Yes
OBJECT                          No
OBJECT-COMPUTER                 Yes
OBJECT-REFERENCE                No
OCCURS                          Yes
OF                              Yes
OFF                             Yes
OMITTED                         Yes
ON                              Yes
ONLY                            Yes
OPEN                            Yes
OPTIONAL                        Yes
OPTIONS                         No
OR                              Yes
ORDER                           Yes
ORGANISATION                    Yes
ORGANIZATION                    Yes
OTHER                           Yes
OUTPUT                          Yes
OVERFLOW                        Yes
OVERLINE                        Yes
OVERRIDE                        No
PACKED-DECIMAL                  Yes
PADDING                         Yes
PAGE                            Yes
PAGE-COUNTER                    Yes
PARAGRAPH                       Yes (Context sensitive)
PERFORM                         Yes
PF                              Yes
PH                              Yes
PIC                             Yes
PICTURE                         Yes
PLUS                            Yes
POINTER                         Yes
POSITION                        Yes
POSITIVE                        Yes
PREFIXED                        No (Context sensitive)
PRESENT                         Yes
PREVIOUS                        Yes
PRINT                           Yes (Context sensitive)
PRINTER                         Yes (Context sensitive)
PRINTER-1                       Yes (Context sensitive)
PRINTING                        Yes
PROCEDURE                       Yes
PROCEDURE-POINTER               Yes
PROCEDURES                      Yes
PROCEED                         Yes
PROGRAM                         Yes
PROGRAM-ID                      Yes
PROGRAM-POINTER                 Yes
PROHIBITED                      Yes (Context sensitive)
PROMPT                          Yes
PROPERTY                        No
PROTECTED                       Yes
PROTOTYPE                       No
PURGE                           Yes
QUEUE                           Yes
QUOTE                           Yes
QUOTES                          Yes
RAISE                           No
RAISING                         No
RANDOM                          Yes
RD                              Yes
READ                            Yes
RECEIVE                         Yes
RECORD                          Yes
RECORDING                       Yes
RECORDS                         Yes
RECURSIVE                       Yes (Context sensitive)
REDEFINES                       Yes
REEL                            Yes
REFERENCE                       Yes
REFERENCES                      Yes
RELATION                        No (Context sensitive)
RELATIVE                        Yes
RELEASE                         Yes
REMAINDER                       Yes
REMOVAL                         Yes
RENAMES                         Yes
REPLACE                         Yes
REPLACING                       Yes
REPORT                          Yes
REPORTING                       Yes
REPORTS                         Yes
REPOSITORY                      Yes
REQUIRED                        Yes
RESERVE                         Yes
RESET                           Yes
RESUME                          No
RETRY                           Yes
RETURN                          Yes
RETURNING                       Yes
REVERSE                         Yes
REVERSE-VIDEO                   Yes
REVERSED                        Yes
REWIND                          Yes
REWRITE                         Yes
RF                              Yes
RH                              Yes
RIGHT                           Yes
RIGHT-JUSTIFY                   No
ROLLBACK                        Yes
ROUNDED                         Yes
ROUNDING                        No (Context sensitive)
RUN                             Yes
S                               Yes
SAME                            Yes
SCREEN                          Yes
SCROLL                          Yes (Context sensitive)
SD                              Yes
SEARCH                          Yes
SECONDS                         Yes (Context sensitive)
SECTION                         Yes
SECURE                          Yes
SEGMENT                         Yes
SEGMENT-LIMIT                   Yes
SELECT                          Yes
SELF                            No
SEND                            Yes
SENTENCE                        Yes
SEPARATE                        Yes
SEQUENCE                        Yes
SEQUENTIAL                      Yes
SET                             Yes
SHARING                         Yes
SIGN                            Yes
SIGNED                          Yes
SIGNED-INT                      Yes
SIGNED-LONG                     Yes
SIGNED-SHORT                    Yes
SIZE                            Yes
SORT                            Yes
SORT-MERGE                      Yes
SOURCE                          Yes
SOURCE-COMPUTER                 Yes
SOURCES                         No
SPACE                           Yes
SPACE-FILL                      No
SPACES                          Yes
SPECIAL-NAMES                   Yes
STANDARD                        Yes
STANDARD-1                      Yes
STANDARD-2                      Yes
STANDARD-BINARY                 No (Context sensitive)
STANDARD-DECIMAL                No (Context sensitive)
START                           Yes
STATEMENT                       No (Context sensitive)
STATIC                          Yes (Context sensitive)
STATUS                          Yes
STDCALL                         Yes (Context sensitive)
STEP                            Yes
STOP                            Yes
STRING                          Yes
STRONG                          No (Context sensitive)
SUB-QUEUE-1                     Yes
SUB-QUEUE-2                     Yes
SUB-QUEUE-3                     Yes
SUBTRACT                        Yes
SUM                             Yes
SUPER                           No
SUPPRESS                        Yes
SYMBOL                          No (Context sensitive)
SYMBOLIC                        Yes
SYNC                            Yes
SYNCHRONISED                    Yes
SYNCHRONIZED                    Yes
SYSTEM-DEFAULT                  Yes
SYSTEM-OFFSET                   Yes
TAB                             Yes (Context sensitive)
TABLE                           Yes
TALLYING                        Yes
TAPE                            Yes (Context sensitive)
TERMINATE                       Yes
TEST                            Yes
TEXT                            Yes
THAN                            Yes
THREAD                          No
THEN                            Yes
THROUGH                         Yes
THRU                            Yes
TIME                            Yes
TIME-OUT                        Yes (Context sensitive)
TIMEOUT                         Yes
TIMES                           Yes
TO                              Yes
TOP                             Yes
TOWARD-GREATER                  Yes (Context sensitive)
TOWARD-LESSER                   Yes (Context sensitive)
TRAILING                        Yes
TRAILING-SIGN                   No
TRANSFORM                       Yes
TRUE                            Yes
TRUNCATION                      Yes (Context sensitive)
TYPE                            Yes
TYPEDEF                         No
U                               Yes
UCS-4                           No (Context sensitive)
UNBOUNDED                       Yes (Context sensitive)
UNDERLINE                       Yes
UNIT                            Yes
UNIVERSAL                       No
UNLOCK                          Yes
UNSIGNED                        Yes
UNSIGNED-INT                    Yes
UNSIGNED-LONG                   Yes
UNSIGNED-SHORT                  Yes
UNSTRING                        Yes
UNTIL                           Yes
UP                              Yes
UPDATE                          Yes
UPON                            Yes
UPPER                           Yes (Context sensitive)
USAGE                           Yes
USE                             Yes
USER                            Yes (Context sensitive)
USER-DEFAULT                    Yes
USING                           Yes
UTF-16                          No (Context sensitive)
UTF-8                           No (Context sensitive)
V                               Yes
VAL-STATUS                      No
VALID                           No
VALIDATE                        No
VALIDATE-STATUS                 No
VALUE                           Yes
VALUES                          Yes
VARIABLE                        Yes
VARYING                         Yes
WAIT                            Yes
WHEN                            Yes
WINDOW                          No
WITH                            Yes
WORDS                           Yes
WORKING-STORAGE                 Yes
WRITE                           Yes
YYYYDDD                         Yes (Context sensitive)
YYYYMMDD                        Yes (Context sensitive)
ZERO                            Yes
ZERO-FILL                       No
ZEROES                          Yes
ZEROS                           Yes

# Extra (obsolete) context sensitive words
AUTHOR
DATE-COMPILED
DATE-MODIFIED
DATE-WRITTEN
INSTALLATION
REMARKS
SECURITY

# Extra internal registers      Definition
RETURN-CODE                     USAGE BINARY-LONG
SORT-RETURN                     USAGE BINARY-LONG
NUMBER-OF-CALL-PARAMETERS       USAGE BINARY-LONG
COB-CRT-STATUS                  PIC 9(4)
TALLY                           GLOBAL PIC 9(5) USAGE BINARY VALUE ZERO
LENGTH OF                       USAGE BINARY-LONG
